No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
2426,Residential Land(Land Only),Potential Residential Area,45201,Miyazaki Prefecture,Miyazaki City,Sadowarachoshimotajima,Sadowara,7,7.0,7.0,560000,,240,0,2400.0,7900.0,Semi-rectangular Shaped,25.5,False,,0,,0,,,,Southeast,City Road,5.0,Urbanization Control Area,,,3rd quarter 2015,2015,3,,
14559,Residential Land(Land Only),Residential Area,45206,Miyazaki Prefecture,Hyuga City,Tsurumachi,Hyugashi,10,10.0,10.0,21000000,,580,0,37000.0,120000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,,South,City Road,6.0,Quasi-industrial Zone,60.0,200.0,1st quarter 2014,2014,1,,
3279,"Pre-owned Condominiums, etc.",,45201,Miyazaki Prefecture,Miyazaki City,Jinguunishi,Miyazakijingu,30-60minutes,30.0,60.0,14000000,3LDK,65,0,,,,,False,,0,1994.0,0,RC,House,House,,,,Category I Exclusively Low-story Residential Zone,60.0,100.0,4th quarter 2016,2016,4,Done,
7040,Residential Land(Land Only),Potential Residential Area,45202,Miyazaki Prefecture,Miyakonojo City,Shibitacho,Nishimiyakonojo,24,24.0,24.0,8500000,,980,0,8700.0,29000.0,Irregular Shaped,28.1,False,,0,,0,,,,Southeast,City Road,5.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,1st quarter 2018,2018,1,,
32527,Residential Land(Land Only),Commercial Area,45202,Miyazaki Prefecture,Miyakonojo City,Mutacho,Nishimiyakonojo,11,11.0,11.0,39000000,,920,0,42000.0,140000.0,Rectangular Shaped,23.0,False,,0,,0,,,,Southwest,City Road,6.0,Commercial Zone,80.0,400.0,4th quarter 2013,2013,4,,
39353,Residential Land(Land Only),Residential Area,45202,Miyazaki Prefecture,Miyakonojo City,Ayamebarucho,Miyakonojo,28,28.0,28.0,12000000,,430,0,27000.0,90000.0,Rectangular Shaped,14.7,False,,0,,0,,,,South,City Road,5.5,Category I Residential Zone,60.0,200.0,3rd quarter 2007,2007,3,,Dealings of adjacent land
34951,Forest Land,,45361,Miyazaki Prefecture,"Takaharu Town,Nishimorokata County",Oaza Kamamuta,,,,,440000,,750,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2013,2013,2,,
10506,Forest Land,,45203,Miyazaki Prefecture,Nobeoka City,Kitakatamachimimichi,,,,,760000,,5000,1,,,,,False,,0,,0,,,,,,,,,,4th quarter 2016,2016,4,,
26364,Agricultural Land,,45204,Miyazaki Prefecture,Nichinan City,Oaza Hoshikura,,,,,7000000,,700,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2011,2011,4,,
34109,Residential Land(Land Only),Residential Area,45207,Miyazaki Prefecture,Kushima City,Oaza Nishikata,Fukushimaimamachi,3,3.0,3.0,2400000,,270,0,9000.0,30000.0,Rectangular Shaped,15.5,False,,0,,0,,,,North,National Highway,11.0,Quasi-residential Zone,60.0,200.0,4th quarter 2013,2013,4,,
