No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
8964,Residential Land(Land and Building),Residential Area,42204,Nagasaki Prefecture,Isahaya City,Hommyomachi,Isahaya,25,25.0,25.0,64000000,,370,0,,,Semi-rectangular Shaped,,False,,0,,0,,,Other,East,City Road,,Urbanization Control Area,,,1st quarter 2015,2015,1,,
17893,Residential Land(Land Only),Industrial Area,42202,Nagasaki Prefecture,Sasebo City,Shimanjicho,Sasebo,11,11.0,11.0,35000000,,380,0,92000.0,300000.0,Rectangular Shaped,12.0,False,,0,,0,,,,West,City Road,8.0,Commercial Zone,80.0,400.0,3rd quarter 2010,2010,3,,
4137,"Pre-owned Condominiums, etc.",,42202,Nagasaki Prefecture,Sasebo City,Inaricho,Sasebo,16,16.0,16.0,9800000,3LDK,90,0,,,,,False,,0,,0,,,House,,,,,,,1st quarter 2018,2018,1,Not yet,
9883,Residential Land(Land Only),Residential Area,42205,Nagasaki Prefecture,Omura City,Kushima,Omura (Nagasaki),19,19.0,19.0,11000000,,240,0,47000.0,160000.0,Semi-rectangular Shaped,13.0,False,,0,,0,,,House,Northeast,Private Road,5.0,Category I Residential Zone,60.0,200.0,4th quarter 2017,2017,4,,
29161,Residential Land(Land and Building),Commercial Area,42308,Nagasaki Prefecture,"Togitsu Town,Nishisonogi County",Hinamigo,Michinoo,1H-1H30,60.0,90.0,11000000,,175,0,,,Semi-trapezoidal Shaped,14.5,False,70.0,0,1974.0,0,W,House,,South,National Highway,12.0,Category I Residential Zone,60.0,200.0,2nd quarter 2013,2013,2,,
2647,Residential Land(Land and Building),Residential Area,42201,Nagasaki Prefecture,Nagasaki City,Narumidai,Michinoo,1H-1H30,60.0,90.0,26000000,,200,0,,,Rectangular Shaped,12.5,False,140.0,0,2006.0,0,W,House,House,East,City Road,6.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,4th quarter 2014,2014,4,,
19539,Agricultural Land,,42210,Nagasaki Prefecture,Iki City,Ashibechosetoura,,,,,460000,,210,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2010,2010,4,,
10141,Residential Land(Land and Building),Residential Area,42205,Nagasaki Prefecture,Omura City,Koba,Omura (Nagasaki),23,23.0,23.0,4800000,,195,0,,,Semi-rectangular Shaped,,False,90.0,0,,0,W,House,House,North,Road,,Non-divided City Planning Area,,,1st quarter 2015,2015,1,,
21999,Forest Land,,42213,Nagasaki Prefecture,Unzen City,Obamachokitano,,,,,270000,,340,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2011,2011,1,,
4480,Residential Land(Land and Building),Residential Area,42202,Nagasaki Prefecture,Sasebo City,Kashimaecho,Sasebo,1H-1H30,60.0,90.0,35000000,,180,0,,,Semi-rectangular Shaped,12.0,False,125.0,0,2017.0,0,W,House,House,Southeast,Access Road,6.0,Category I Exclusively Low-story Residential Zone,60.0,100.0,4th quarter 2017,2017,4,,
11872,Residential Land(Land Only),Residential Area,42208,Nagasaki Prefecture,Matsuura City,Mikuriyachotashiromen,Mikuriya,30-60minutes,30.0,60.0,1700000,,280,0,6100.0,20000.0,Semi-shaped,15.0,False,,0,,0,,,,Northwest,City Road,7.0,Outside City Planning Area,,,2nd quarter 2017,2017,2,,
5635,Residential Land(Land Only),Residential Area,42202,Nagasaki Prefecture,Sasebo City,Tenjin,Sasebo,30-60minutes,30.0,60.0,5000000,,350,0,14000.0,47000.0,Semi-shaped,,False,,0,,0,,,,Southwest,Road,,Category I Exclusively Low-story Residential Zone,60.0,100.0,3rd quarter 2018,2018,3,,
18306,Residential Land(Land Only),Residential Area,42204,Nagasaki Prefecture,Isahaya City,Kanayamachi,Isahaya,15,15.0,15.0,16000000,,240,0,65000.0,210000.0,Semi-square Shaped,,False,,0,,0,,,,East,City Road,,Category I Exclusively Medium-high Residential Zone,,,3rd quarter 2010,2010,3,,
26964,Residential Land(Land Only),Commercial Area,42204,Nagasaki Prefecture,Isahaya City,Uzumachi,Isahaya,10,10.0,10.0,6800000,,115,0,58000.0,190000.0,Semi-rectangular Shaped,20.0,False,,0,,0,,,,Northwest,National Highway,18.0,Category I Residential Zone,60.0,200.0,2nd quarter 2013,2013,2,,
18276,Residential Land(Land and Building),Residential Area,42204,Nagasaki Prefecture,Isahaya City,Eidamachi,Isahaya,21,21.0,21.0,33000000,,170,0,,,Semi-rectangular Shaped,,False,,0,,0,,,,South,Access Road,6.0,,,,2nd quarter 2010,2010,2,,
7944,Residential Land(Land Only),Residential Area,42204,Nagasaki Prefecture,Isahaya City,Kawatokomachi,Saiwai,22,22.0,22.0,2400000,,280,0,8600.0,28000.0,Semi-rectangular Shaped,,False,,0,,0,,,House,Southeast,Private Road,2.0,Urbanization Control Area,,,4th quarter 2014,2014,4,,
6760,Residential Land(Land and Building),Residential Area,42203,Nagasaki Prefecture,Shimabara City,Ariakechoomisaki,Omisaki,21,21.0,21.0,9000000,,220,0,,,Rectangular Shaped,17.0,False,105.0,0,1999.0,0,W,House,House,Southeast,Private Road,4.0,Outside City Planning Area,,,1st quarter 2015,2015,1,,
19934,Residential Land(Land and Building),Residential Area,42202,Nagasaki Prefecture,Sasebo City,Kamishimacho,Sasebo,30-60minutes,30.0,60.0,2000000,,80,0,,,Semi-rectangular Shaped,,False,,0,,0,,,,South,Road,,,,,4th quarter 2011,2011,4,,
32655,Residential Land(Land Only),Residential Area,42204,Nagasaki Prefecture,Isahaya City,Kawatokomachi,,,,,2500000,,55,0,46000.0,150000.0,,,False,,0,,0,,,,,,,,,,3rd quarter 2008,2008,3,,
8493,Agricultural Land,,42204,Nagasaki Prefecture,Isahaya City,Taramichosase,,,,,2500000,,1000,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
16009,Forest Land,,42321,Nagasaki Prefecture,"Higashisonogi Town,Higashisonogi County",Hitotsuishigo,,,,,150000,,300,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2016,2016,1,,
23654,Residential Land(Land and Building),Residential Area,42202,Nagasaki Prefecture,Sasebo City,Yokotecho,Mikawachi,30-60minutes,30.0,60.0,9000000,,310,0,,,Irregular Shaped,,False,,0,,0,,,,Southwest,Prefectural Road,14.0,Urbanization Control Area,70.0,200.0,4th quarter 2012,2012,4,,
10340,Residential Land(Land and Building),Residential Area,42205,Nagasaki Prefecture,Omura City,Takebemachi,Omura (Nagasaki),16,16.0,16.0,12000000,,165,0,,,Rectangular Shaped,9.0,False,90.0,0,1978.0,0,W,House,House,Northwest,Private Road,4.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,3rd quarter 2018,2018,3,,
13125,Residential Land(Land and Building),Commercial Area,42211,Nagasaki Prefecture,Goto City,Higashihamamachi,,,,,4300000,,410,0,,,Semi-square Shaped,21.0,False,150.0,0,1991.0,0,S,Housing Complex,House,Northwest,City Road,20.0,Commercial Zone,80.0,400.0,2nd quarter 2015,2015,2,,
10226,Residential Land(Land and Building),Residential Area,42205,Nagasaki Prefecture,Omura City,Sanjomachi,Suwa,12,12.0,12.0,50000000,,250,0,,,Semi-square Shaped,,False,145.0,0,2000.0,0,W,House,Other,Northwest,Private Road,4.5,Category I Exclusively Low-story Residential Zone,50.0,80.0,4th quarter 2015,2015,4,,
6372,Residential Land(Land Only),Residential Area,42202,Nagasaki Prefecture,Sasebo City,Matsubaracho,Senpukuji,19,19.0,19.0,11000000,,170,0,64000.0,210000.0,Rectangular Shaped,11.5,False,,0,,0,,,House,North,Access Road,6.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,
