No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
24046,Residential Land(Land Only),Residential Area,43443,Kumamoto Prefecture,"Mashiki Town,Kamimashiki County",Oaza Miyazono,Shinsuizenji,1H30-2H,90.0,120.0,9400000,,290,0,33000.0,110000.0,Semi-rectangular Shaped,,False,,0,,0,,,Other,No facing road,,,Category I Exclusively Medium-high Residential Zone,60.0,150.0,1st quarter 2019,2019,1,,
18050,Forest Land,,43215,Kumamoto Prefecture,Amakusa City,Shinwamachinakada,,,,,230000,,1200,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2019,2019,1,,
35632,Residential Land(Land Only),Residential Area,43104,Kumamoto Prefecture,"Minami Ward,Kumamoto City",Shimamachi,Kumamoto,30-60minutes,30.0,60.0,45000000,,540,0,83000.0,270000.0,Irregular Shaped,17.0,False,,0,,0,,,,South,City Road,6.0,Category I Exclusively Medium-high Residential Zone,60.0,150.0,1st quarter 2012,2012,1,,
25531,Forest Land,,43501,Kumamoto Prefecture,"Nishiki Town,Kuma County",Oaza Ichibu,,,,,32000,,105,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2015,2015,3,,
53018,Residential Land(Land Only),Residential Area,43208,Kumamoto Prefecture,Yamaga City,Kamotomachikutami,,,,,2400000,,175,0,14000.0,46000.0,Semi-rectangular Shaped,4.0,False,,0,,0,,,,East,City Road,8.5,Outside City Planning Area,,,2nd quarter 2007,2007,2,,
32029,Residential Land(Land and Building),Residential Area,43205,Kumamoto Prefecture,Minamata City,Tsukinoura,Fukuro,30-60minutes,30.0,60.0,13000000,,175,0,,,Irregular Shaped,14.5,False,110.0,0,1993.0,0,W,House,,Northeast,City Road,6.0,Non-divided City Planning Area,70.0,400.0,3rd quarter 2011,2011,3,,
31096,Agricultural Land,,43202,Kumamoto Prefecture,Yatsushiro City,Gunchiku10bancho,,,,,5200000,,4000,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2011,2011,4,,
20387,Forest Land,,43369,Kumamoto Prefecture,"Nagomi Town,Tamana County",Uchida,,,,,600000,,1200,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2014,2014,1,,
21438,Residential Land(Land and Building),Residential Area,43404,Kumamoto Prefecture,"Kikuyo Town,Kikuchi County",Oaza Tsukure,Haramizu,19,19.0,19.0,18000000,,195,0,,,Rectangular Shaped,10.0,False,125.0,0,2001.0,0,W,House,House,North,Town Road,6.0,Category II Exclusively Medium-high Residential Zone,60.0,150.0,3rd quarter 2015,2015,3,,
9810,Agricultural Land,,43202,Kumamoto Prefecture,Yatsushiro City,Shikigawachimachi,,,,,3600000,,3700,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
