No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
12530,Residential Land(Land Only),Residential Area,32449,Shimane Prefecture,"Onan Town,Ochi County",Yakami,,,,,830000,,180,0,4500.0,15000.0,Rectangular Shaped,4.0,False,,0,,0,,,,Southeast,Town Road,4.0,Outside City Planning Area,,,4th quarter 2014,2014,4,,
27880,Agricultural Land,,32203,Shimane Prefecture,Izumo City,Tokorobaracho,,,,,3400000,,780,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2008,2008,4,,
17164,Forest Land,,32501,Shimane Prefecture,"Tsuwano Town,Kanoashi County",Fukino,,,,,230,,120,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2010,2010,1,,
10563,Residential Land(Land and Building),Residential Area,32207,Shimane Prefecture,Gotsu City,Sakuraechoichiyama,,,,,3800000,,580,0,,,Irregular Shaped,20.0,False,65.0,0,1957.0,0,W,House,House,Northwest,City Road,4.0,Outside City Planning Area,,,4th quarter 2017,2017,4,,
23637,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Nishikawatsucho,Matsue,30-60minutes,30.0,60.0,11000000,,220,0,,,Rectangular Shaped,13.0,False,130.0,0,1981.0,0,W,House,,Northwest,City Road,6.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,3rd quarter 2009,2009,3,,
23446,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Kasugacho,Matsue,30-60minutes,30.0,60.0,28000000,,185,0,,,Irregular Shaped,,False,115.0,0,2009.0,0,W,House,,South,City Road,5.0,Category I Residential Zone,60.0,200.0,3rd quarter 2009,2009,3,,
24008,Agricultural Land,,32202,Shimane Prefecture,Hamada City,Nishimuracho,,,,,890000,,1200,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2009,2009,3,,
27271,Forest Land,,32202,Shimane Prefecture,Hamada City,Misumichomukainota,,,,,30000,,185,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2007,2007,3,,
29926,Agricultural Land,,32449,Shimane Prefecture,"Onan Town,Ochi County",Nakano,,,,,1600000,,1600,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2007,2007,4,,
15872,Agricultural Land,,32206,Shimane Prefecture,Yasugi City,Arashimacho,,,,,550000,,1100,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2010,2010,1,,
6163,Residential Land(Land and Building),Residential Area,32203,Shimane Prefecture,Izumo City,Chiimiyacho,Nishiizumo,10,10.0,10.0,29000000,,210,0,,,Semi-rectangular Shaped,10.0,False,135.0,0,2017.0,0,,,House,Northeast,City Road,6.0,Non-divided City Planning Area,70.0,200.0,4th quarter 2016,2016,4,,
24254,Residential Land(Land Only),Residential Area,32203,Shimane Prefecture,Izumo City,Jinzaishimmachi,Izumojinzai,16,16.0,16.0,6000000,,280,0,21000.0,70000.0,Semi-trapezoidal Shaped,13.0,False,,0,,0,,,,North,City Road,6.0,Non-divided City Planning Area,70.0,200.0,1st quarter 2009,2009,1,,
6344,Residential Land(Land and Building),Residential Area,32203,Shimane Prefecture,Izumo City,Nadabuncho,Unshuhirata,21,21.0,21.0,12000000,,450,0,,,Semi-square Shaped,20.5,False,95.0,0,2002.0,0,W,Other,House,Northwest,City Road,9.5,Non-divided City Planning Area,70.0,200.0,4th quarter 2018,2018,4,,
8297,Forest Land,,32204,Shimane Prefecture,Masuda City,Nishihirabaracho,,,,,190000,,990,0,,,,,False,,0,,0,,,Other,,,,,,,2nd quarter 2016,2016,2,,
