No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
20106,Agricultural Land,,6203,Yamagata Prefecture,Tsuruoka City,Kamiyamazoe,,,,,220000,,490,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2013,2013,2,,
14255,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Shinkai,Minamidewa,21,21.0,21.0,12000000,,500,0,24000.0,80000.0,Rectangular Shaped,26.0,False,,0,,0,,,,East,City Road,4.8,Urbanization Control Area,70.0,200.0,2nd quarter 2013,2013,2,,
20685,Agricultural Land,,6210,Yamagata Prefecture,Tendo City,Oaza Araya,,,,,1100000,,220,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2010,2010,1,,
37955,Residential Land(Land Only),Residential Area,6323,Yamagata Prefecture,"Asahi Town,Nishimurayama County",Oaza Miyajuku,Aterazawa,2H-,120.0,,8700000,,870,0,10000.0,33000.0,Semi-square Shaped,30.0,False,,0,,0,,,,East,Town Road,6.0,Category I Residential Zone,60.0,200.0,1st quarter 2008,2008,1,,
30459,Agricultural Land,,6301,Yamagata Prefecture,"Yamanobe Town,Higashimurayama County",Oaza Yamanobe,,,,,500000,,320,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2011,2011,4,,
28751,Agricultural Land,,6208,Yamagata Prefecture,Murayama City,Oaza Yunosawa,,,,,3500000,,5000,1,,,,,False,,0,,0,,,,,,,,,,4th quarter 2012,2012,4,,
913,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Kotobukicho,Yamagata,26,26.0,26.0,15000000,,185,0,80000.0,270000.0,Trapezoidal Shaped,12.0,False,,0,,0,,,House,East,City Road,6.0,Category I Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
30994,Residential Land(Land Only),Residential Area,6210,Yamagata Prefecture,Tendo City,Hitoichimachi,Tendo,20,20.0,20.0,9200000,,135,0,68000.0,220000.0,Irregular Shaped,13.0,False,,0,,0,,,,West,Prefectural Road,8.3,Category II Residential Zone,60.0,200.0,1st quarter 2013,2013,1,,
19168,Agricultural Land,,6324,Yamagata Prefecture,"Oe Town,Nishimuraya County",Oaza Nukumi,,,,,130000,,130,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
2813,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Miyamachi,Kitayamagata,10,10.0,10.0,8500000,,145,0,58000.0,190000.0,Irregular Shaped,5.5,False,,0,,0,,,House,North,City Road,3.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2017,2017,2,,
9793,Forest Land,,6207,Yamagata Prefecture,Kaminoyama City,Ogura,,,,,31000,,340,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2016,2016,4,,
17619,Agricultural Land,,6207,Yamagata Prefecture,Kaminoyama City,Nakayama,,,,,2500000,,850,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2010,2010,2,,
6271,Residential Land(Land and Building),Residential Area,6203,Yamagata Prefecture,Tsuruoka City,Yura,Sanze,30-60minutes,30.0,60.0,2500000,,175,0,,,Semi-rectangular Shaped,13.0,False,115.0,0,1975.0,0,W,House,House,West,Private Road,5.7,Urbanization Control Area,70.0,200.0,2nd quarter 2016,2016,2,,
27887,Residential Land(Land Only),Commercial Area,6206,Yamagata Prefecture,Sagae City,Honcho,Sagae,9,9.0,9.0,19000000,,260,0,74000.0,240000.0,Semi-rectangular Shaped,9.0,False,,0,,0,,,,South,Prefectural Road,20.0,Neighborhood Commercial Zone,80.0,200.0,2nd quarter 2013,2013,2,,Dealings of adjacent land
