No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
24649,Residential Land(Land and Building),Residential Area,19201,Yamanashi Prefecture,Kofu City,Tokoji,Zenkoji,8,8.0,8.0,15000000,,1700,0,,,Semi-rectangular Shaped,20.0,False,470.0,0,1973.0,0,S,Warehouse,,West,City Road,7.5,Category I Exclusively Medium-high Residential Zone,60.0,200.0,2nd quarter 2008,2008,2,,Dealings in which auction or arbiter participates
463,Residential Land(Land Only),Residential Area,19201,Yamanashi Prefecture,Kofu City,Otamachi,Kofu,30-60minutes,30.0,60.0,7400000,,200,0,37000.0,120000.0,Semi-rectangular Shaped,10.5,False,,0,,0,,,House,South,City Road,3.0,Neighborhood Commercial Zone,80.0,200.0,4th quarter 2016,2016,4,,
121,Residential Land(Land Only),Residential Area,19201,Yamanashi Prefecture,Kofu City,Asake,Minamikofu,11,11.0,11.0,11000000,,230,0,47000.0,150000.0,Semi-rectangular Shaped,13.5,False,,0,,0,,,House,North,Road,5.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2016,2016,3,,
4338,Residential Land(Land Only),Residential Area,19207,Yamanashi Prefecture,Nirasaki City,Okusamachi,Nirasaki,1H-1H30,60.0,90.0,4500000,,290,0,15000.0,51000.0,Semi-shaped,11.0,False,,0,,0,,,House,West,City Road,3.5,Non-divided City Planning Area,70.0,200.0,4th quarter 2014,2014,4,,
9275,Residential Land(Land and Building),Industrial Area,19212,Yamanashi Prefecture,Uenohara City,Uenohara,Uenohara,30-60minutes,30.0,60.0,36000000,,1900,0,,,Semi-shaped,27.0,False,35.0,0,2007.0,0,,,Other,South,City Road,10.5,Industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
144,Residential Land(Land Only),Residential Area,19201,Yamanashi Prefecture,Kofu City,Asahi,Kofu,8,8.0,8.0,9800000,,240,0,40000.0,130000.0,Rectangular Shaped,11.0,False,,0,,0,,,House,Northwest,City Road,3.3,Commercial Zone,80.0,400.0,2nd quarter 2018,2018,2,,
14264,Residential Land(Land and Building),Residential Area,19209,Yamanashi Prefecture,Hokuto City,Takanechokiyosato,Kiyosato,30-60minutes,30.0,60.0,12000000,,890,0,,,Semi-trapezoidal Shaped,29.5,False,110.0,0,2005.0,0,W,House,,South,Road,6.0,Outside City Planning Area,,,1st quarter 2010,2010,1,,
16865,Forest Land,,19366,Yamanashi Prefecture,"Nanbu Town,Minamikoma County",Fukushi,,,,,140000,,320,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2011,2011,2,,
14727,Residential Land(Land Only),Residential Area,19210,Yamanashi Prefecture,Kai City,Tamagawa,Ryuo,1H-1H30,60.0,90.0,6000000,,500,0,12000.0,40000.0,Irregular Shaped,18.0,False,,0,,0,,,,South,City Road,4.7,Category I Exclusively Medium-high Residential Zone,60.0,200.0,2nd quarter 2010,2010,2,,
9529,Residential Land(Land Only),Residential Area,19213,Yamanashi Prefecture,Koshu City,Enzankumano,Enzan,30-60minutes,30.0,60.0,18000000,,770,0,23000.0,77000.0,Semi-rectangular Shaped,18.0,False,,0,,0,,,House,Northwest,City Road,4.2,Non-divided City Planning Area,70.0,200.0,3rd quarter 2017,2017,3,,
11591,Residential Land(Land Only),Residential Area,19425,Yamanashi Prefecture,"Yamanakako Village,Minamitsuru County",Yamanaka,Fujisan,1H30-2H,90.0,120.0,7300000,,500,0,15000.0,49000.0,Rectangular Shaped,15.0,False,,0,,0,,,,Southeast,Village Road,4.0,Outside City Planning Area,,,2nd quarter 2015,2015,2,,
8110,Residential Land(Land and Building),Residential Area,19210,Yamanashi Prefecture,Kai City,Ryuo,Ryuo,11,11.0,11.0,9500000,,200,0,,,Semi-square Shaped,13.0,False,105.0,0,1990.0,0,W,House,House,West,City Road,5.0,Category I Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
