No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
13225,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Kakuji,Tottori,30-60minutes,30.0,60.0,9100000,,200,0,45000.0,150000.0,Semi-rectangular Shaped,9.5,False,,0,,0,,,,East,City Road,6.0,Category I Residential Zone,60.0,200.0,4th quarter 2012,2012,4,,
11933,Agricultural Land,,31386,Tottori Prefecture,"Daisen Town,Saihaku County",Hinokuchi,,,,,9000000,,1400,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2010,2010,4,,
19537,Residential Land(Land and Building),Residential Area,31202,Tottori Prefecture,Yonago City,Higashifukubara,Yonago,30-60minutes,30.0,60.0,15000000,,290,0,,,Semi-rectangular Shaped,15.0,False,165.0,0,1975.0,0,W,"House, Other",,Southeast,City Road,4.0,Category I Residential Zone,60.0,200.0,4th quarter 2007,2007,4,,
15718,Agricultural Land,,31202,Tottori Prefecture,Yonago City,Yodoechonakama,,,,,16000,,120,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2013,2013,4,,
14531,Agricultural Land,,31370,Tottori Prefecture,"Yurihama Town,Tohaku County",Oaza Nagota,,,,,30000,,115,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2012,2012,4,,
382,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Karochonishi,Tottoridaigakumae,30-60minutes,30.0,60.0,4000000,,220,0,18000.0,61000.0,Semi-rectangular Shaped,11.0,False,,0,,0,,,House,Northwest,City Road,6.0,Quasi-residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
8921,Residential Land(Land and Building),Residential Area,31390,Tottori Prefecture,"Hoki Town,Saihaku County",Kanayadani,Kishimoto,1H30-2H,90.0,120.0,7300000,,580,0,,,Semi-rectangular Shaped,21.5,False,175.0,0,1986.0,0,W,House,House,Northeast,Private Road,6.0,Outside City Planning Area,,,3rd quarter 2015,2015,3,,
11850,Residential Land(Land and Building),Residential Area,31386,Tottori Prefecture,"Daisen Town,Saihaku County",Kamo,Nawa (Tottori),30-60minutes,30.0,60.0,3000000,,2000,1,,,Irregular Shaped,50.0,True,145.0,0,1983.0,0,W,House,,,,,Outside City Planning Area,,,1st quarter 2010,2010,1,,
12257,Residential Land(Land Only),Residential Area,31402,Tottori Prefecture,"Hino Town,Hino County",Kusumi,Kurosaka,1H-1H30,60.0,90.0,300000,,530,0,570.0,1900.0,Semi-trapezoidal Shaped,26.5,False,,0,,0,,,,East,Town Road,3.0,Outside City Planning Area,,,2nd quarter 2010,2010,2,,
8301,Residential Land(Land Only),Residential Area,31384,Tottori Prefecture,"Hiezu Village,Saihaku County",Oaza Hiezu,Hokidaisen,13,13.0,13.0,6900000,,330,0,21000.0,70000.0,Rectangular Shaped,,False,,0,,0,,,Other,East,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2019,2019,2,,
