No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
23414,Residential Land(Land Only),Commercial Area,39402,Kochi Prefecture,"Sakawa Town,Takaoka County",Ko,Sakawa,16,16.0,16.0,4600000,,200,0,23000.0,77000.0,Irregular Shaped,7.0,False,,0,,0,,,,No facing road,,,Non-divided City Planning Area,70.0,200.0,4th quarter 2009,2009,4,,
26233,Residential Land(Land Only),Residential Area,39302,Kochi Prefecture,"Nahari Town,Aki County",,Nahari,6,6.0,6.0,13000000,,650,0,20000.0,66000.0,Semi-trapezoidal Shaped,25.0,False,,0,,0,,,,Southeast,Town Road,6.2,Outside City Planning Area,,,2nd quarter 2008,2008,2,,
21639,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Otsu,Tosaotsu,11,11.0,11.0,8800000,,165,0,53000.0,180000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,,West,City Road,6.0,Urbanization Control Area,60.0,200.0,4th quarter 2009,2009,4,,
12947,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Higashijoyamacho,Asahi (Kochi),23,23.0,23.0,7200000,,90,0,82000.0,270000.0,Rectangular Shaped,7.0,False,,0,,0,,,,South,City Road,3.9,Category I Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2010,2010,4,,
19285,Forest Land,,39428,Kochi Prefecture,"Kuroshio Town,Hata County",Kamochi,,,,,45000,,230,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2012,2012,3,,
19931,Residential Land(Land Only),Residential Area,39204,Kochi Prefecture,Nankoku City,Kokubu,Gomen,30-60minutes,30.0,60.0,7000000,,540,0,13000.0,43000.0,Flag-shaped etc.,6.0,False,,0,,0,,,,South,Prefectural Road,3.5,Urbanization Control Area,70.0,200.0,2nd quarter 2013,2013,2,,
6635,Forest Land,,39209,Kochi Prefecture,Tosashimizu City,Matsuo,,,,,65000000,,5000,1,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2014,2014,3,,
18041,Agricultural Land,,39212,Kochi Prefecture,Kami City,Tosayamadachosue,,,,,2000000,,1300,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2012,2012,1,,
8375,Forest Land,,39212,Kochi Prefecture,Kami City,Tosayamadachonishimata,,,,,8600,,2600,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2019,2019,1,,
9871,Forest Land,,39387,Kochi Prefecture,"Niyodogawa Town,Agawa County",Oe,,,,,210000,,4200,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2018,2018,3,,
