No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
26301,Residential Land(Land and Building),Residential Area,37201,Kagawa Prefecture,Takamatsu City,Yashimanishimachi,Katamoto,30-60minutes,30.0,60.0,40000000,,490,0,,,Semi-rectangular Shaped,25.0,False,210.0,0,1996.0,0,W,House,,North,City Road,6.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2007,2007,4,,
7835,Residential Land(Land Only),Residential Area,37203,Kagawa Prefecture,Sakaide City,Chikkocho,Sakaide,23,23.0,23.0,7500000,,370,0,20000.0,67000.0,Rectangular Shaped,12.0,False,,0,,0,,,,North,City Road,9.0,Quasi-industrial Zone,60.0,200.0,1st quarter 2014,2014,1,,
26050,Residential Land(Land and Building),Commercial Area,37201,Kagawa Prefecture,Takamatsu City,Furubabacho,Kawaramachi,7,7.0,7.0,22000000,,30,0,,,Semi-shaped,4.5,False,105.0,0,1968.0,0,S,"House, Shop",,North,City Road,8.0,Commercial Zone,80.0,500.0,4th quarter 2007,2007,4,,
22371,Residential Land(Land Only),Residential Area,37208,Kagawa Prefecture,Mitoyo City,Toyonakachokamitakano,Motoyama (Kagawa),29,29.0,29.0,1800000,,60,0,30000.0,98000.0,Semi-shaped,37.0,False,,0,,0,,,,Southwest,City Road,6.5,Non-divided City Planning Area,70.0,200.0,3rd quarter 2013,2013,3,,
13423,Residential Land(Land and Building),Residential Area,37406,Kagawa Prefecture,"Manno Town,Nakatado County",Yoshino,Enai,1H-1H30,60.0,90.0,8000000,,1800,0,,,Irregular Shaped,33.0,False,320.0,0,1996.0,0,S,,Warehouse,North,Road,4.0,Non-divided City Planning Area,70.0,200.0,2nd quarter 2019,2019,2,,
21881,Agricultural Land,,37204,Kagawa Prefecture,Zentsuji City,Yoshiwaracho,,,,,1000000,,1400,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2013,2013,4,,
236,Residential Land(Land Only),Residential Area,37201,Kagawa Prefecture,Takamatsu City,Ichinomiyacho,Ichinomiya,7,7.0,7.0,7500000,,230,0,32000.0,110000.0,Semi-rectangular Shaped,12.5,False,,0,,0,,,House,East,Road,12.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
10079,Residential Land(Land Only),Residential Area,37207,Kagawa Prefecture,Higashikagawa City,Kirai,Sanukishirotori,14,14.0,14.0,6300000,,260,0,24000.0,78000.0,Semi-trapezoidal Shaped,27.0,False,,0,,0,,,,North,City Road,3.0,Non-divided City Planning Area,70.0,200.0,2nd quarter 2018,2018,2,,
6780,Residential Land(Land Only),Residential Area,37202,Kagawa Prefecture,Marugame City,Temmacho,Marugame,25,25.0,25.0,11000000,,220,0,48000.0,160000.0,Semi-rectangular Shaped,16.5,False,,0,,0,,,House,Southwest,City Road,6.0,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
4803,Residential Land(Land and Building),Residential Area,37201,Kagawa Prefecture,Takamatsu City,Hommachi,Kataharamachi (Takamatsu),2,2.0,2.0,5000000,,60,0,,,Semi-rectangular Shaped,5.0,False,110.0,0,1971.0,0,S,"House, Warehouse",Other,North,City Road,4.5,Commercial Zone,80.0,400.0,1st quarter 2019,2019,1,,
